Country,Country_code,Year,Quantity
Lesotho,LSO,2018,517.27
Liberia,LBR,2018,444
Libya,LBY,2018,34171
Liechtenstein,LIE,2018,89
Lithuania,LTU,2018,3514
Luxembourg,LUX,2018,2201
Madagascar,MDG,2018,2071.92
Malawi,MWI,2018,2265.655
Malaysia,MYS,2018,170578
Maldives,MDV,2018,772
Mali,MLI,2018,3260.9
Malta,MLT,2018,1962.06
Marshall Islands,MHL,2018,89.5
Mauritania,MRT,2018,1271
Mauritius,MUS,2018,3131.5
Mexico,MEX,2018,335581
Micronesia (Fed. States of),FSM,2018,68.61
Mongolia,MNG,2018,6535.3
Montenegro,MNE,2018,3679.3
Montserrat,MSR,2018,19.5
Morocco,MAR,2018,35839
Mozambique,MOZ,2018,16659
Myanmar,MMR,2018,26713.9
Namibia,NAM,2018,1363.1
Nauru,NRU,2018,36.18
Nepal,NPL,2018,4913.12
Netherlands,NLD,2018,114466
New Caledonia,NCL,2018,3485.9
New Zealand,NZL,2018,44380
Nicaragua,NIC,2018,4636
Niger,NER,2018,479.995
Nigeria,NGA,2018,36278
Niue,NIU,2018,3.869
North Macedonia,MKD,2018,5607.17
Northern Mariana Islands,MNP,2018,390
Norway,NOR,2018,146889
Oman,OMN,2018,37671
Pakistan,PAK,2018,134981
Palau,PLW,2018,94.75
Panama,PAN,2018,11352.8
Papua New Guinea,PNG,2018,4482.4
Paraguay,PRY,2018,59212.45
Peru,PER,2018,54982
Philippines,PHL,2018,100123.3
Poland,POL,2018,170038
Portugal,PRT,2018,59635
Puerto Rico,PRI,2018,16647
Qatar,QAT,2018,47913
Republic of Moldova,MDA,2018,952
Romania,ROU,2018,64874
Russian Federation,RUS,2018,1115093.189
Rwanda,RWA,2018,730.1
Samoa,WSM,2018,153.551
Sao Tome and Principe,STP,2018,91.3
Saudi Arabia,SAU,2018,343777.555
Senegal,SEN,2018,4502
Serbia,SRB,2018,37426
Seychelles,SYC,2018,517.9
Sierra Leone,SLE,2018,163.6
Singapore,SGP,2018,53073.8
Slovakia,SVK,2018,26971
Slovenia,SVN,2018,16330
Solomon Islands,SLB,2018,109.936
Somalia,SOM,2018,350
South Africa,ZAF,2018,256064
Spain,ESP,2018,274452
Sri Lanka,LKA,2018,15985.475
St. Helena and Depend.,SHN,2018,11.934
St. Kitts-Nevis,KNA,2018,232
St. Lucia,LCA,2018,404.228
St. Pierre-Miquelon,SPM,2018,50.869
St. Vincent-Grenadines,VCT,2018,150.744
Sudan,SDN,2018,16374.1
Suriname,SUR,2018,2287.63
Sweden,SWE,2018,163400
Switzerland,CHE,2018,69107
Syrian Arab Republic,SYR,2018,18210
Tajikistan,TJK,2018,19742.4
Thailand,THA,2018,182296
Timor-Leste,TLS,2018,452.891
Togo,TGO,2018,588.5
Tonga,TON,2018,67.669
Trinidad and Tobago,TTO,2018,9225
Tunisia,TUN,2018,21012
Turkey,TUR,2018,304801
Turkmenistan,TKM,2018,22534
Turks and Caicos Islands,TCA,2018,257
Tuvalu,TUV,2018,8.4249
